fecha,emae_total,emae_agro,emae_industria,var_mensual_total,var_mensual_agro,var_mensual_industria,anio
2004-01-01,99.30553412,110.2342461,103.4109159,,,,2004
2004-02-01,99.20303983,111.4668125,102.4513682,-0.10321105556529986,1.118133831914525,-0.9278978835540963,2004
2004-03-01,100.7315274,98.87235926,101.3696491,1.54076686825253,-11.298836808489533,-1.0558366559715648,2004
2004-04-01,99.36034329,92.28399258,100.4470785,-1.3612263661555546,-6.663507100781196,-0.9101053502610923,2004
2004-05-01,99.15286154,90.31258366,98.86268622,-0.2088174649260477,-2.1362414703622767,-1.5773403305104572,2004
2004-06-01,100.4032282,92.04730297,99.40791514,1.2610494952741025,1.9207946885128502,0.5515012193646918,2004
2004-07-01,100.3916719,106.47262,99.66554252,-0.011509888882232922,15.671634653653555,0.2591618380057392,2004
2004-08-01,99.06742824,109.1856468,96.64759083,-1.3190772052477429,2.548098093199913,-3.0280793278122053,2004
2004-09-01,99.92534288,108.2599959,98.79686234,0.8659906240037207,-0.8477770907888149,2.223823161593863,2004
2004-10-01,98.75290022,108.792806,98.20731015,-1.173318625894515,0.4921578793446013,-0.5967316937365075,2004
2004-11-01,100.711158,112.2086847,98.88438541,1.9829876141737923,3.1398020012463057,0.6894346856316957,2004
2004-12-01,103.207055,115.8741562,102.2390753,2.4782725663823557,3.2666557938897167,3.3925375336971486,2004
2005-01-01,105.5728475,109.7333487,110.0186576,2.2922778873982974,-5.299548839346812,7.609206438118088,2005
2005-02-01,105.7288797,118.8201807,108.5039357,0.14779576727812493,8.28082994609276,-1.3767863860938423,2005
2005-03-01,109.4054767,123.7962743,107.5095139,3.4773819702167863,4.1879195694574545,-0.9164845437030555,2005
2005-04-01,112.9010458,128.4642752,109.7475087,3.195058607152901,3.7707119429845504,2.081671397083662,2005
2005-05-01,114.2990483,127.1799514,107.8106384,1.238254694714258,-0.999751719301345,-1.76484215718693,2005
2005-06-01,110.7035106,125.7025427,106.6148484,-3.1457284671022046,-1.1616679230780025,-1.1091577025667654,2005
2005-07-01,106.8200098,110.4577343,105.6198653,-3.508019555072728,-12.127684987552756,-0.9332500256127529,2005
2005-08-01,106.5866011,107.487966,104.9822557,-0.2185065330334801,-2.6886014988630746,-0.6036834057579599,2005
2005-09-01,106.8587006,105.8337676,104.698413,0.2552849018468306,-1.5389614870933488,-0.2703720720300673,2005
2005-10-01,105.4400107,105.3019642,106.0045736,-1.3276316219776318,-0.5024893397067354,1.2475457483772878,2005
2005-11-01,108.6285,113.5081493,107.2529407,3.023984234098709,7.793002877338551,1.1776539988836765,2005
2005-12-01,112.1640427,125.8874876,110.3772642,3.2547100438650833,10.906122931562944,2.9130422714833903,2005
2006-01-01,114.2113518,115.6296349,118.5772286,1.8252811246076917,-8.148429121561085,7.429033922368222,2006
2006-02-01,114.4971224,114.682982,117.7391254,0.25021208093256586,-0.8186940145739396,-0.7067994503625941,2006
2006-03-01,117.2476593,113.3770609,118.3506336,2.4022760068946436,-1.138722657211677,0.5193755244252696,2006
2006-04-01,118.2696775,117.3910245,118.6505495,0.8716747149595472,3.5403666033822834,0.25341300749910367,2006
2006-05-01,120.3532787,120.7020828,117.099262,1.7617374495673355,2.820537868293327,-1.307442322464758,2006
2006-06-01,118.1062742,120.0417759,115.8196727,-1.8670073007325594,-0.5470551001958257,-1.0927389960835088,2006
2006-07-01,116.2175417,116.5130619,116.4587204,-1.5991804946802746,-2.9395716395761884,0.551760927226308,2006
2006-08-01,117.1451681,119.9479603,115.5286267,0.798181054624747,2.9480801070596696,-0.7986466765265932,2006
2006-09-01,116.9548499,119.2596236,115.3151678,-0.16246355106814825,-0.57386278039111,-0.1847671058657241,2006
2006-10-01,117.5695145,109.2717134,115.0937969,0.525557170588109,-8.37493017209221,-0.19197032291878857,2006
2006-11-01,118.8241654,114.5808987,117.2939832,1.0671566564987467,4.858700513430403,1.9116462913389087,2006
2006-12-01,121.4006496,121.8990991,120.171162,2.16831668148203,6.386928783968426,2.4529636742696814,2006
